,flowS1-curr,prcpS1-1day,prcpS2-1day,prcpS3-1day,flowS1-1day,flowS2-1day,prcpS1-2day,prcpS2-2day,prcpS3-2day,flowS1-2day,flowS2-2day,prcpS1-3day,prcpS2-3day,prcpS3-3day,flowS1-3day,flowS2-3day
208,small,small,medium,large,small,small,small,small,small,small,small,small,small,small,small,small
209,small,large,large,large,small,small,small,medium,large,small,small,small,small,small,small,small
210,small,large,medium,medium,small,small,large,large,large,small,small,small,medium,large,small,small
211,small,large,large,large,small,small,large,medium,medium,small,small,large,large,large,small,small
212,small,small,medium,medium,small,small,small,medium,medium,small,small,small,small,medium,small,small
213,small,small,small,medium,small,small,small,medium,medium,small,small,small,medium,medium,small,small
214,small,small,small,small,small,small,small,small,medium,small,small,small,medium,medium,small,small
215,small,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small
216,small,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
217,small,small,small,small,small,small,small,small,medium,small,small,small,small,small,small,small
218,small,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small
219,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
220,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
221,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
222,small,small,small,medium,small,small,small,small,small,small,small,small,small,small,small,small
223,small,small,small,small,small,small,small,small,medium,small,small,small,small,small,small,small
224,small,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small
225,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
226,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
227,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
228,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
229,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
230,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
231,small,small,large,small,small,small,small,small,small,small,small,small,small,small,small,small
232,small,large,large,large,small,small,small,large,small,small,small,small,small,small,small,small
233,small,medium,small,medium,small,small,large,large,large,small,small,small,large,small,small,small
234,small,large,large,large,small,small,medium,small,medium,small,small,large,large,large,small,small
235,small,large,large,large,small,small,large,large,large,small,small,medium,small,medium,small,small
236,small,large,large,large,small,small,large,large,large,small,small,large,large,large,small,small
237,small,large,medium,medium,small,small,large,large,large,small,small,large,large,large,small,small
238,medium,large,large,large,small,small,large,medium,medium,small,small,large,large,large,small,small
239,large,large,large,large,medium,small,large,large,large,small,small,large,medium,medium,small,small
240,medium,large,medium,large,large,large,large,large,large,medium,small,large,large,large,small,small
241,small,small,small,small,medium,medium,large,medium,large,large,large,large,large,large,medium,small
242,small,small,small,small,small,medium,small,small,small,medium,medium,large,medium,large,large,large
243,small,small,medium,medium,small,small,small,small,small,small,medium,small,small,small,medium,medium
244,small,small,small,large,small,small,small,medium,medium,small,small,small,small,small,small,medium
245,small,small,small,medium,small,small,small,small,large,small,small,small,medium,medium,small,small
246,small,small,small,small,small,small,small,small,medium,small,small,small,small,large,small,small
247,small,small,small,small,small,small,small,small,small,small,small,small,small,medium,small,small
248,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
249,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
250,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
251,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
252,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
253,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
254,small,small,small,large,small,small,small,small,small,small,small,small,small,small,small,small
255,small,medium,small,small,small,small,small,small,large,small,small,small,small,small,small,small
256,small,small,small,small,small,small,medium,small,small,small,small,small,small,large,small,small
257,small,small,small,large,small,small,small,small,small,small,small,medium,small,small,small,small
